accountsservice,0.6.43-1,CVE-2018-14036,3.0,6.5
apt,1.0.9.10,CVE-2016-1252,3.0,5.9
avahi,0.6.32-2,CVE-2017-6519,3.0,9.1
berkeleydb,5.3.28-12+deb9u1,CVE-2016-3418,3.0,7.8
berkeleydb,5.3.28-12+deb9u1,CVE-2016-0694,3.0,7.8
berkeleydb,5.3.28-12+deb9u1,CVE-2016-0692,3.0,7.8
berkeleydb,5.3.28-12+deb9u1,CVE-2016-0689,3.0,7.8
berkeleydb,5.3.28-12+deb9u1,CVE-2016-0682,3.0,7.8
berkeleydb,5.3.28-13,CVE-2016-3418,3.0,7.8
berkeleydb,5.3.28-13,CVE-2016-0694,3.0,7.8
berkeleydb,5.3.28-13,CVE-2016-0692,3.0,7.8
berkeleydb,5.3.28-13,CVE-2016-0689,3.0,7.8
berkeleydb,5.3.28-13,CVE-2016-0682,3.0,7.8
bind,9.10.3.dfsg.P4-12.3+deb9u4,CVE-2016-6170,3.0,6.5
bind,9.10.3.dfsg.P4-12.5,CVE-2016-6170,3.0,6.5
binutils,2.28-5,CVE-2018-7643,3.0,7.8
binutils,2.28-5,CVE-2018-7208,3.0,7.8
binutils,2.28-5,CVE-2018-6543,3.0,7.8
binutils,2.28-5,CVE-2018-6323,3.0,7.8
binutils,2.28-5,CVE-2017-17126,3.0,7.8
binutils,2.28-5,CVE-2017-17125,3.0,7.8
binutils,2.28-5,CVE-2017-17124,3.0,7.8
binutils,2.28-5,CVE-2017-17122,3.0,7.8
binutils,2.28-5,CVE-2017-17121,3.0,7.8
binutils,2.28-5,CVE-2017-16832,3.0,7.8
binutils,2.28-5,CVE-2017-16831,3.0,7.8
binutils,2.28-5,CVE-2017-16830,3.0,7.8
binutils,2.28-5,CVE-2017-16829,3.0,7.8
binutils,2.28-5,CVE-2017-16828,3.0,7.8
binutils,2.28-5,CVE-2017-16827,3.0,7.8
binutils,2.28-5,CVE-2017-16826,3.0,7.8
binutils,2.28-5,CVE-2017-15996,3.0,7.8
binutils,2.28-5,CVE-2017-15020,3.0,7.8
binutils,2.28-5,CVE-2017-14745,3.0,7.8
binutils,2.28-5,CVE-2017-14729,3.0,7.8
binutils,2.28-5,CVE-2017-14333,3.0,7.8
binutils,2.28-5,CVE-2017-12799,3.0,7.8
binutils,2.28-5,CVE-2017-12459,3.0,7.8
binutils,2.28-5,CVE-2017-12458,3.0,7.8
binutils,2.28-5,CVE-2017-12457,3.0,7.8
binutils,2.28-5,CVE-2017-12456,3.0,7.8
binutils,2.28-5,CVE-2017-12455,3.0,7.8
binutils,2.28-5,CVE-2017-12454,3.0,7.8
binutils,2.28-5,CVE-2017-12453,3.0,7.8
binutils,2.28-5,CVE-2017-12452,3.0,7.8
binutils,2.28-5,CVE-2017-12451,3.0,7.8
binutils,2.28-5,CVE-2017-12450,3.0,7.8
binutils,2.28-5,CVE-2017-12449,3.0,7.8
binutils,2.28-5,CVE-2017-12448,3.0,7.8
binutils,2.28-5,CVE-2017-9756,3.0,7.8
binutils,2.28-5,CVE-2017-9755,3.0,7.8
binutils,2.28-5,CVE-2017-9754,3.0,7.8
binutils,2.28-5,CVE-2017-9753,3.0,7.8
binutils,2.28-5,CVE-2017-9752,3.0,7.8
binutils,2.28-5,CVE-2017-9751,3.0,7.8
binutils,2.28-5,CVE-2017-9750,3.0,7.8
binutils,2.28-5,CVE-2017-9749,3.0,7.8
binutils,2.28-5,CVE-2017-9748,3.0,7.8
binutils,2.28-5,CVE-2017-9747,3.0,7.8
binutils,2.28-5,CVE-2017-9746,3.0,7.8
binutils,2.28-5,CVE-2017-9745,3.0,7.8
binutils,2.28-5,CVE-2017-9744,3.0,7.8
binutils,2.28-5,CVE-2017-9743,3.0,7.8
binutils,2.28-5,CVE-2017-9742,3.0,7.8
binutils,2.28-5,CVE-2017-9043,3.0,7.8
binutils,2.28-5,CVE-2017-9042,3.0,7.8
binutils,2.28-5,CVE-2017-15938,3.0,7.5
binutils,2.28-5,CVE-2017-13710,3.0,7.5
binutils,2.28-5,CVE-2017-12967,3.0,6.5
binutils,2.28-5,CVE-2018-9996,3.0,5.5
binutils,2.28-5,CVE-2018-8945,3.0,5.5
binutils,2.28-5,CVE-2018-7642,3.0,5.5
binutils,2.28-5,CVE-2018-7570,3.0,5.5
binutils,2.28-5,CVE-2018-7569,3.0,5.5
binutils,2.28-5,CVE-2018-7568,3.0,5.5
binutils,2.28-5,CVE-2018-6872,3.0,5.5
binutils,2.28-5,CVE-2018-6759,3.0,5.5
binutils,2.28-5,CVE-2017-17123,3.0,5.5
binutils,2.28-5,CVE-2017-17080,3.0,5.5
binutils,2.28-5,CVE-2017-15225,3.0,5.5
binutils,2.28-5,CVE-2017-15025,3.0,5.5
binutils,2.28-5,CVE-2017-15024,3.0,5.5
binutils,2.28-5,CVE-2017-15023,3.0,5.5
binutils,2.28-5,CVE-2017-15022,3.0,5.5
binutils,2.28-5,CVE-2017-15021,3.0,5.5
binutils,2.28-5,CVE-2017-14974,3.0,5.5
binutils,2.28-5,CVE-2017-14940,3.0,5.5
binutils,2.28-5,CVE-2017-14939,3.0,5.5
binutils,2.28-5,CVE-2017-14938,3.0,5.5
binutils,2.28-5,CVE-2017-14934,3.0,5.5
binutils,2.28-5,CVE-2017-14933,3.0,5.5
binutils,2.28-5,CVE-2017-14932,3.0,5.5
binutils,2.28-5,CVE-2017-14930,3.0,5.5
binutils,2.28-5,CVE-2017-14529,3.0,5.5
binutils,2.28-5,CVE-2017-14130,3.0,5.5
binutils,2.28-5,CVE-2017-14129,3.0,5.5
binutils,2.28-5,CVE-2017-14128,3.0,5.5
binutils,2.28-5,CVE-2017-13757,3.0,5.5
binutils,2.28-5,CVE-2017-13716,3.0,5.5
binutils,2.28-5,CVE-2017-9955,3.0,5.5
binutils,2.28-5,CVE-2017-9954,3.0,5.5
binutils,2.28-5,CVE-2017-9044,3.0,5.5
binutils,2.28-5,CVE-2017-9041,3.0,5.5
binutils,2.28-5,CVE-2017-9040,3.0,5.5
binutils,2.28-5,CVE-2017-9039,3.0,5.5
binutils,2.28-5,CVE-2017-9038,3.0,5.5
bluez,5.45-1deepin,CVE-2017-1000250,3.0,6.5
busybox,1.22.0-19+b3,CVE-2016-2148,3.0,9.8
busybox,1.22.0-19+b3,CVE-2017-16544,3.0,8.8
busybox,1.22.0-19+b3,CVE-2018-20679,3.0,7.5
busybox,1.22.0-19+b3,CVE-2016-2147,3.0,7.5
busybox,1.22.0-19+b3,CVE-2016-6301,3.0,7.5
busybox,1.22.0-19+b3,CVE-2015-9261,3.0,5.5
bzip2,1.0.6,CVE-2016-3189,3.0,6.5
c-ares,1.2.5,CVE-2016-5180,3.0,9.8
cairo,1.14.10-1,CVE-2017-9814,3.0,7.5
cairo,1.14.8-1,CVE-2017-9814,3.0,7.5
coreutils,8.26-3,CVE-2017-18018,3.0,4.7
cron,3.0pl1-128+b1,CVE-2017-9525,3.0,6.7
cron,3.0pl1-128+deb9u1,CVE-2017-9525,3.0,6.7
cups,2.2.1-8+deb9u2,CVE-2017-18190,3.0,7.5
cups,2.2.1-8+deb9u2,CVE-2017-18248,3.0,5.3
cups,2.2.4-7deepin,CVE-2017-18248,3.0,5.3
curl,7.34.0,CVE-2018-16839,3.0,9.8
curl,7.34.0,CVE-2018-14618,3.0,9.8
curl,7.34.0,CVE-2016-8622,3.0,9.8
curl,7.34.0,CVE-2016-8620,3.0,9.8
curl,7.34.0,CVE-2016-8619,3.0,9.8
curl,7.34.0,CVE-2016-8618,3.0,9.8
curl,7.34.0,CVE-2018-1000120,3.0,9.8
curl,7.34.0,CVE-2016-9953,3.0,9.8
